"No.","OCUPACION","OCUPACION.NOMBRE","SALARIO"
"8257",3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","547741.05"
"8258",4211,"Cajeros","535795.20"
"8259",9151,"Mensajeros, ascensoristas, botones, maleteros, caddies y repartidores","528525.00"
"8260",2446,"Trabajadores sociales y orientadores sociales","1443389.00"
"8261",2226,"Enfermeros profesionales","1736233.50"
"8262",2227,"Médico Especialista","3722414.00"
"8263",8229,"Otros operadores de máquinas para fabricar productos químicos","936426.99"
"8264",5132,"Ayudantes de enfermería","675200.00"
"8265",5132,"Ayudantes de enfermería","290814.12"
"8266",2131,"Diseñadores y analistas de sistemas informáticos","1409614.50"
"8267",2224,"Farmacéuticos","2034312.50"
"8268",2449,"Otros profesionales en ciencias sociales","1432251.70"
"8269",9155,"Ayudante de cocina","687740.79"
"8270",3122,"Técnicos y asistentes en estadística y demografía","428241.95"
"8271",2222,"Odontólogos","1870068.30"
"8272",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","2486849.50"
"8273",2446,"Trabajadores sociales y orientadores sociales","1251208.50"
"8274",1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","1479715.20"
"8275",2226,"Enfermeros profesionales","1753934.80"
"8276",8315,"Maquinistas de locomotoras, guardafrenos, guardagujas y agentes de maniobras","844540.20"
"8277",2449,"Otros profesionales en ciencias sociales","1593166.00"
"8278",3226,"Auxiliares de enfermería","998144.63"
"8279",3226,"Auxiliares de enfermería","2571793.22"
"8280",3224,"Técnicos y asistentes en farmacia","820132.87"
"8281",2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","3268457.81"
"8282",3226,"Auxiliares de enfermería","915321.31"
"8283",3226,"Auxiliares de enfermería","1365522.00"
"8284",2226,"Enfermeros profesionales","1820878.30"
"8285",2449,"Otros profesionales en ciencias sociales","1602457.00"
"8286",2222,"Odontólogos","904534.80"
"8287",3122,"Técnicos y asistentes en estadística y demografía","595680.00"
"8288",2227,"Médico Especialista","2629702.00"
"8289",2221,"Médicos generales y especialistas","7340826.56"
"8290",7125,"Encargado de Mantenimiento de Edificios","880303.30"
"8291",2226,"Enfermeros profesionales","3335475.08"
"8292",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","1214353.90"
"8293",3417,"Secretarios ejecutivos y secretarios ejecutivos bilingües","539500.00"
"8294",7125,"Encargado de Mantenimiento de Edificios","639573.50"
"8295",2449,"Otros profesionales en ciencias sociales","1423283.50"
"8296",3229,"Otros técnicos de las ciencias de la salud","1061948.90"
"8297",3122,"Técnicos y asistentes en estadística y demografía","780880.00"
"8298",3229,"Otros técnicos de las ciencias de la salud","861871.45"
"8299",3224,"Técnicos y asistentes en farmacia","879737.55"
"8300",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","4161960.23"
"8301",3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","1128519.45"
"8302",3229,"Otros técnicos de las ciencias de la salud","827407.05"
"8303",2227,"Médico Especialista","523614.27"
"8304",2445,"Psicólogos","1931792.65"
"8305",3224,"Técnicos y asistentes en farmacia","845500.00"
"8306",2449,"Otros profesionales en ciencias sociales","1122653.70"
"8307",8312,"Conductores de taxis y automóviles para transporte (incluye ambulancias)","554610.00"
"8308",3226,"Auxiliares de enfermería","1354480.90"
"8309",3417,"Secretarios ejecutivos y secretarios ejecutivos bilingües","589300.00"
"8310",7125,"Encargado de Mantenimiento de Edificios","640394.55"
"8311",2411,"Contadores públicos y auditores","1423374.00"
"8312",2224,"Farmacéuticos","2693656.70"
"8313",7125,"Encargado de Mantenimiento de Edificios","433060.00"
"8314",2226,"Enfermeros profesionales","2794322.45"
"8315",3122,"Técnicos y asistentes en estadística y demografía","911465.73"
"8316",2221,"Médicos generales y especialistas","2058903.52"
"8317",2226,"Enfermeros profesionales","1729038.50"
"8318",2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","2362137.20"
"8319",2449,"Otros profesionales en ciencias sociales","1281196.50"
"8320",3226,"Auxiliares de enfermería","1437394.62"
"8321",2449,"Otros profesionales en ciencias sociales","1489140.00"
"8322",5132,"Ayudantes de enfermería","492383.55"
"8323",2449,"Otros profesionales en ciencias sociales","1305496.50"
"8324",9155,"Ayudante de cocina","159464.35"
"8325",2227,"Médico Especialista","1806892.10"
"8326",2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","2098810.07"
"8327",2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","62518.85"
"8328",2227,"Médico Especialista","5172759.88"
"8329",3419,"Otros técnicos en administración y en economía","1468864.50"
"8330",2222,"Odontólogos","1911979.20"
"8331",2227,"Médico Especialista","5267340.55"
"8332",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","2255280.00"
"8333",3226,"Auxiliares de enfermería","747731.25"
"8334",3224,"Técnicos y asistentes en farmacia","1003843.40"
"8335",3419,"Otros técnicos en administración y en economía","1512498.00"
"8336",3226,"Auxiliares de enfermería","602616.00"
"8337",2449,"Otros profesionales en ciencias sociales","1432898.70"
"8338",2227,"Médico Especialista","1524024.65"
"8339",2131,"Diseñadores y analistas de sistemas informáticos","1478978.50"
"8340",3226,"Auxiliares de enfermería","482535.90"
"8341",2224,"Farmacéuticos","1513962.00"
